Unnamed: 0,箱番号,サンプル番号,連番,サンプル名,サンプル名推測,メモ日付,メモ人名（ご依頼者）,メモ1,メモ2,番号A1,番号A2,番号A3,番号A,番号B1,番号B2,番号B3,番号B4,番号B,日付,個数,計測値C(g),計測値B,計測値A(%),備考
,7,929.0,207,,,,,,,20230925,1.0,H0071,202301011328H1328,,,,, ,20230925,1160.0,23.04,23.1706755695749,14.9,
,7,930.0,208,,,,,,,20230926,1.0,H0075,202301011329H1329,,,,, ,20230926,1055.4,24.36,19.838182953309,14.6,
,7,931.0,209,,,,,,,20230924,1.0,H0067,202301011330H1330,,,,, ,20230924,1019.2,22.59,22.6683771053041,12.7,
,7,932.0,210,,,,,,,20230926,1.0,H0074,202301011331H1331,,,,, ,20230926,1055.2,23.26,23.682972432725,15.1,
,7,933.0,211,,,,,,,20230923,1.0,H0066,202301011332H1332,,,,, ,20230923,1046.7,24.22,22.8655141628937,16.2,
,7,934.0,212,,,,,,,20230921,1.0,H0061,202301011333H1333,,,,, ,20230921,1089.9,23.5,22.2789107690922,14.6,
,7,935.0,213,,,,,,,20230921,1.0,H0062,202301011334H1334,,,,, ,20230921,951.4,22.79,22.5101484378034,14.5,
,7,936.0,214,,,,,,,20230922,1.0,H0063,202301011335H1335,,,,, ,20230922,1049.1,21.98,22.5611648536154,14.8,
,7,937.0,215,,,,,,,20230923,1.0,H0064,202301011336H1336,,,,, ,20230923,1012.0,22.89,22.2980134542152,14.8,
,7,938.0,216,,,,,,,20230920,1.0,H0058,202301011337H1337,,,,, ,20230920,1024.4,22.94,21.9959354869271,14.4,
,7,939.0,217,,,,,,,20230920,1.0,H0060,202301011338H1338,,,,, ,20230920,1064.8,23.23,23.2925861431931,14.1,
,7,940.0,218,,,,,,,20230923,1.0,H0065,202301011339H1339,,,,, ,20230923,1082.9,24.34,22.4337624617234,14.6,
,7,941.0,219,,,,,,,20230920,1.0,H0059,202301011340H1340,,,,, ,20230920,1067.7,23.26,22.4583143823545,13.4,
,7,942.0,220,,,,,,,20230927,1.0,H0076,202301011341H1341,,,,, ,20230927,998.3,22.53,21.6548255939586,13.0,
,7,943.0,221,,,,,,,20230928,1.0,H0079,202301011342H1342,,,,, ,20230928,1074.6,23.8,21.0715789797432,15.3,
,7,944.0,222,,,,,,,20290928,1.0,H0080,202301011343H1343,,,,, ,20290928,1092.9,23.05,21.2973974009163,14.0,
,7,945.0,223,,,,,,,20230929,1.0,H0083,202301011344H1344,,,,, ,20230929,1013.9,24.08,21.9515102746353,14.8,
,7,946.0,224,,,,,,,20230927,1.0,H0078,202301011345H1345,,,,, ,20230927,1047.7,23.31,23.6899796742354,15.4,
,7,947.0,225,,,,,,,20230927,1.0,H0077 ,202301011346H1346 ,,,,, ,20230927,1025.5,22.87,22.9857214813104,15.2,
,7,948.0,226,,,,,,,20230928,1.0,H0081,202301011347H1347,,,,, ,20230928,1082.0,24.25,22.3685926969641,13.9,
,7,949.0,227,,,,,,,20230929,1.0,H0082,202301011348H1348,,,,, ,20230929,1038.1,23.06,22.6077751817532,14.6,
,7,950.0,228,,,,,,,20230919,1.0,H0057,202301011349H1349,,,,, ,20230919,1003.8,21.58,19.8413659811166,13.5,
,7,951.0,229,,,,,,,20230919,1.0,H0056,202301011350H1350,,,,, ,20230919,971.9,22.19,22.8236405468986,14.3,
,7,952.0,230,,,,,,,20230918,1.0,H0052,202301011351H1351,,,,, ,20230918,1028.2,23.01,22.2419887842207,15.1,
,7,953.0,231,,,,,,,20230917,1.0,H0051,202301011352H1352,,,,, ,20230917,1043.1,21.98,21.4035185137404,14.3,
,7,954.0,232,,,,,,,20230919,1.0,H0055,202301011353H1353,,,,, ,20230919,965.0,24.25,22.942756206132,12.3,
,7,955.0,233,,,,,,,20230918,1.0,H0054,202301011354H1354,,,,, ,20230918,1100.4,24.08,22.3668438438823,12.7,
,7,956.0,234,,,,,,,20230918,1.0,H0053,202301011355H1355,,,,, ,20230918,1059.6,24.47,21.7320211682901,13.8,
,7,957.0,235,,,,,,,20230917,1.0,H0050,202301011356H1356,,,,, ,20230917,1052.0,22.58,22.1111223395585,15.3,
,7,958.0,236,,,,,,,20230917,1.0,H0049,202301011357H1357,,,,, ,20230917,1026.5,23.23,20.8315897022833,14.5,
,7,959.0,237,,,,,,,20230916,1.0,H0048,202301011358H1358,,,,, ,20230916,1022.3,24.91,21.3715678361084,14.4,
,8,262.0,238,,,,,,,20230930,1.0,H0087,202301011359H1359,,,,, ,20230930,1090.1,22.97,21.826569993879,13.4,
,8,263.0,239,,,,,,,20230930,1.0,H0086,202301011360H1360,,,,, ,20230930,1109.6,23.6,22.9108190829295,14.4,
,8,264.0,240,,,,,,,20230930,1.0,H0085,202301011361H1361,,,,, ,20230930,1042.0,24.17,24.8304331565242,12.7,
,8,265.0,241,,,,,,,20230929,1.0,H0084,202301011362H1362,,,,, ,20230929,1045.2,23.04,21.3103784629814,14.6,
,8,266.0,242,,,,,,,20231001,1.0,H0088,202301011363H1363,,,,, ,20231001,947.5,22.73,21.1736727753909,15.2,
,8,267.0,243,,,,,,,20231002,1.0,H0089,202301011364H1364,,,,, ,20231002,1051.7,24.08,22.4471792424427,13.7,
,8,268.0,244,,,,,,,20231002,1.0,H0090,202301011365H1365,,,,, ,20231002,1113.1,23.41,22.9606547703284,15.1,
,8,269.0,245,,,,,,,20231002,1.0,H0091,202301011366H1366,,,,, ,20231002,1086.6,23.87,21.4921330061237,13.8,
,8,270.0,246,,,,,,,20231004,1.0,H0092,202301011367H1367,,,,, ,20231004,1071.0,24.19,21.5644432711248,14.4,
,8,271.0,247,,,,,,,20231004,1.0,H0093,202301011368H1368,,,,, ,20231004,962.3,21.55,21.9196792995777,14.2,
,8,272.0,248,,,,,,,20231005,1.0,H0094,202301011369H1369,,,,, ,20231005,1075.7,23.22,22.9268106983048,14.4,
,8,273.0,249,,,,,,,20231005,1.0,H0095,202301011370H1370,,,,, ,20231005,960.1,23.1,23.0414984098529,15.4,
,8,274.0,250,,,,,,,20231005,1.0,H0096,202301011371H1371,,,,, ,20231005,1071.1,23.88,22.4730260153924,14.9,
,8,275.0,251,,,,,,,20231006,1.0,H0097,202301011372H1372,,,,, ,20231006,1054.7,22.8,21.5351389799874,13.8,
,8,276.0,252,,,,,,,20231006,1.0,H0098,202301011373H1373,,,,, ,20231006,1118.2,22.92,22.2783946853867,12.4,
,8,277.0,253,,,,,,,20231006,1.0,H0099,202301011374H1374,,,,, ,20231006,1028.2,21.66,21.8929305265878,15.0,
,8,278.0,254,,,,,,,20231007,1.0,H0100,202301011375H1375,,,,, ,20231007,1159.0,24.34,22.6989663190436,14.9,
,8,279.0,255,,,,,,,20231007,1.0,H0101,202301011376H1376,,,,, ,20231007,1045.3,22.9,22.4590929617218,14.4,
,8,280.0,256,,,,,,,20231008,1.0,H0102,202301011377H1377,,,,, ,20231008,1050.5,23.23,21.4518166423536,13.9,
,8,,257,,,,,,,,,,,,,,, ,,,,,,
,8,281.0,258,,,,,,,20231008,1.0,H0104,202301011378H1378,,,,, ,20231008,1104.5,23.13,22.2711745170085,13.1,
,8,282.0,259,,,,,,,20231009,1.0,H0105,202301011379H1379,,,,, ,20231009,1052.2,23.25,23.966745517142,13.8,
,8,283.0,260,,,,,,,20231010,1.0,H0106,202301011380H1380,,,,, ,20231010,1200.3,24.35,20.3889491495358,13.3,
,8,284.0,261,,,,,,,20231010,1.0,H0107,202301011381H1381,,,,, ,20231010,1162.4,21.58,21.7395861813097,14.6,
,8,285.0,262,,,,,,,20231011,1.0,H0108,202301011382H1382,,,,, ,20231011,1147.3,24.65,22.3256457718949,14.0,
,8,286.0,263,,,,,,,20231011,1.0,H0109,202301011383H1383,,,,, ,20231011,1116.9,21.75,22.3012897537187,15.8,
,8,287.0,264,,,,,,,20231011,1.0,H0110,202301011384H1384,,,,, ,20231011,1074.8,23.58,21.6386642077075,14.3,
,8,,265,,,,,,,,,,,,,,, ,,,,,,
,8,288.0,266,,,,,,,20231012,1.0,H0112,202301011385H1385,,,,, ,20231012,1120.1,22.16,22.408549336256,14.7,
,8,289.0,267,,,,,,,20231012,1.0,H0113,202301011386H1386,,,,, ,20231012,1105.1,23.91,23.5408445542507,13.8,
,8,290.0,268,,,,,,,20231012,1.0,H0114,202301011387H1387,,,,, ,20231012,1042.6,22.24,21.377228548623,13.6,
,8,291.0,269,,,,,,,20231012,1.0,H0115,202301011388H1388,,,,, ,20231012,1059.4,25.28,21.9439734116851,14.7,
,8,292.0,270,,,,,,,20231013,1.0,H0116,202301011389H1389,,,,, ,20231013,963.6,23.96,24.7788666552304,14.0,
,9,216.0,271,サンプル0142,,,,サンプル1391,,,,,,,,,, ,,1039.7,23.61,23.3788815182755,15.0,
,9,217.0,272,サンプル0143,,サンプル0969,,サンプル1392,,,,,,,,,, ,2023-09-14 00:00:00,1117.1,21.96,21.4295649026419,14.6,
,9,218.0,273,サンプル0144,,サンプル0970,,サンプル1393,,,,,,,,,, ,2023-09-14 00:00:00,1006.8,22.57,22.0126806658151,14.4,
,9,219.0,274,サンプル0145,,サンプル0971,,サンプル1394,,,,,,,,,, ,2023-09-11 00:00:00,1041.0,23.37,22.0620713253716,14.4,
,9,220.0,275,サンプル0146,,サンプル0972,,サンプル1395,,,,,,,,,, ,2023-10-15 00:00:00,1148.8,23.29,21.389532416596,14.3,
,9,221.0,276,サンプル0147,,サンプル0973,,サンプル1396,,,,,,,,,, ,2023-10-12 00:00:00,958.3,23.4,23.4083972559872,14.6,
,9,222.0,277,サンプル0148,,サンプル0974,,サンプル1397,,,,,,,,,, ,2023-10-08 00:00:00,1061.4,24.6,22.2955255887307,14.0,
,9,223.0,278,サンプル0149,,サンプル0975,,サンプル1398,,,,,,,,,, ,2023-10-13 00:00:00,1052.4,23.63,20.8606912649084,12.9,
,9,224.0,279,サンプル0150,,サンプル0976,,サンプル1399,,,,,,,,,, ,2023-10-12 00:00:00,1032.4,22.54,22.3488786539827,14.4,
,9,225.0,280,サンプル0151,,サンプル0977,,サンプル1400,,,,,,,,,, ,2023-10-27 00:00:00,1029.7,24.06,25.087125723325,14.0,
,9,226.0,281,サンプル0152,,サンプル0978,,サンプル1401,,,,,,,,,, ,2023-10-27 00:00:00,983.4,24.49,22.2958102387193,13.4,
,9,227.0,282,サンプル0153,,サンプル0979,,サンプル1402,,,,,,,,,, ,2023-10-14 00:00:00,1072.1,22.41,23.3791866919089,14.9,
,9,228.0,283,サンプル0154,,サンプル0980,,サンプル1403,,,,,,,,,, ,2023-10-15 00:00:00,1038.7,22.1,20.7562241060277,14.1,
,9,229.0,284,サンプル0155,,サンプル0981,,サンプル1404,,,,,,,,,, ,2023-10-05 00:00:00,1009.6,24.48,20.567319918672,13.1,
,9,230.0,285,サンプル0156,,サンプル0982,,サンプル1405,,,,,,,,,, ,2023-10-09 00:00:00,1087.8,23.24,22.2273655658316,14.3,
,9,231.0,286,サンプル0157,,サンプル0983,,サンプル1406,,,,,,,,,, ,2023-10-07 00:00:00,1106.0,26.13,23.4708083142089,13.8,
,9,232.0,287,サンプル0158,,サンプル0984,,サンプル1407,,,,,,,,,, ,2023-10-06 00:00:00,1073.5,22.79,24.3240473446086,13.1,
,9,233.0,288,サンプル0159,,,,サンプル1408,,,,,,,,,, ,,1107.2,23.51,23.1271773595585,14.5,
,9,234.0,289,サンプル0160,,サンプル0985,,サンプル1409,,,,,,,,,, ,2023-10-06 00:00:00,1012.8,23.49,22.8407711451986,13.6,
,9,,290,,,,,,,,,,,,,,, ,,,,,,
,9,235.0,291,サンプル0161,,サンプル0986,,サンプル1410,,,,,,,,,, ,2023-09-19 00:00:00,1107.8,25.93,22.7422868958228,13.7,
,9,236.0,292,サンプル0162,,サンプル0987,,サンプル1411,,,,,,,,,, ,2023-10-20 00:00:00,1084.1,22.41,19.6011573767677,15.0,
,9,237.0,293,サンプル0163,,サンプル0988,,サンプル1412,,,,,,,,,, ,2023-10-13 00:00:00,1081.4,23.88,21.9290964554368,14.6,
,9,238.0,294,サンプル0164,,サンプル0989,,サンプル1413,,,,,,,,,, ,2023-10-05 00:00:00,1067.4,23.7,22.4442156886536,14.4,
,9,239.0,295,サンプル0165,,サンプル0990,,サンプル1414,,,,,,,,,, ,2023-10-19 00:00:00,1036.1,23.15,22.5277344194918,13.8,
,9,240.0,296,サンプル0166,,サンプル0991,,サンプル1415,,,,,,,,,, ,2023-10-16 00:00:00,1081.9,23.51,22.5592293892285,15.0,
,9,241.0,297,サンプル0167,,サンプル0992,,サンプル1416,,,,,,,,,, ,2023-09-19 00:00:00,1105.2,24.99,22.7360599943283,14.7,
,9,242.0,298,サンプル0168,,サンプル0993,,サンプル1417,,,,,,,,,, ,2023-10-16 00:00:00,1078.5,23.67,23.1550262538853,14.1,
,9,243.0,299,サンプル0169,,サンプル0994,,サンプル1418,,,,,,,,,, ,2023-10-19 00:00:00,1049.9,22.28,21.2551093551521,14.7,
,9,244.0,300,サンプル0170,,サンプル0995,,サンプル1419,,,,,,,,,, ,2023-10-17 00:00:00,1096.3,23.55,21.1460913288818,13.6,
,9,245.0,301,サンプル0171,,サンプル0996,,サンプル1420,,,,,,,,,, ,2023-10-16 00:00:00,1128.7,23.34,20.1548789314442,13.4,
,9,246.0,302,サンプル0172,,サンプル0997,,サンプル1421,,,,,,,,,, ,2023-10-14 00:00:00,951.4,22.89,21.238161071209,14.3,
,9,247.0,303,サンプル0173,,サンプル0998,,サンプル1422,,,,,,,,,, ,2023-10-05 00:00:00,988.3,23.19,23.4267654089433,14.4,
,9,248.0,304,サンプル0174,,サンプル0999,,サンプル1423,,,,,,,,,, ,2023-09-29 00:00:00,1097.2,21.85,21.4289014508351,14.6,
,9,249.0,305,サンプル0175,,サンプル1000,,サンプル1424,,,,,,,,,, ,2023-10-17 00:00:00,1083.8,23.76,21.1150017951627,14.4,
,9,250.0,306,サンプル0176,,サンプル1001,,サンプル1425,,,,,,,,,, ,2023-09-28 00:00:00,1043.8,23.87,21.5680873055853,15.2,
,9,251.0,307,サンプル0177,,サンプル1002,,サンプル1426,,,,,,,,,, ,2023-10-21 00:00:00,1005.9,22.57,23.6732927690797,13.4,
,9,,308,,,,,,,,,,,,,,, ,,,,,,
,9,252.0,309,サンプル0178,,サンプル1003,,サンプル1427,,,,,,,,,, ,2023-10-20 00:00:00,969.3,22.42,22.6026532425863,14.5,
,9,253.0,310,サンプル0179,,サンプル1004,,サンプル1428,,,,,,,,,, ,2023-10-21 00:00:00,1084.5,25.52,20.4455504363697,15.3,
,9,254.0,311,サンプル0180,,サンプル1005,,サンプル1429,,,,,,,,,, ,2023-09-28 00:00:00,1016.3,23.69,22.9720361938546,14.4,
,9,255.0,312,サンプル0181,,サンプル1006,,サンプル1430,,,,,,,,,, ,2023-09-28 00:00:00,1021.7,23.7,21.3134346163587,14.5,
,9,256.0,313,サンプル0182,,サンプル1007,,サンプル1431,,,,,,,,,, ,2023-10-06 00:00:00,1046.8,25.6,22.1033480296918,15.6,
,9,,314,,,,,,,,,,,,,,, ,,,,,,
,9,257.0,315,サンプル0183,,サンプル1008,,サンプル1432,,,,,,,,,, ,2023-09-14 00:00:00,1024.8,22.86,22.9898666339598,14.8,
,9,258.0,316,サンプル0184,,サンプル1009,,サンプル1433,,,,,,,,,, ,2023-09-15 00:00:00,1021.8,23.18,20.8064398323881,14.1,
,9,259.0,317,サンプル0185,,,,サンプル1434,,,,,,,,,, ,,1063.9,23.6,23.538666589498,14.4,
,9,260.0,318,サンプル0186,,サンプル1010,,サンプル1435,,,,,,,,,, ,2023-09-17 00:00:00,966.2,24.08,22.1794061602976,13.2,
,9,,319,,,,,,,,,,,,,,, ,,,,,,
,9,261.0,320,サンプル0187,,サンプル1011,,サンプル1436,,,,,,,,,, ,2023-09-28 00:00:00,1106.1,23.12,22.7789909774314,14.8,
,10,416.0,321,,,サンプル1012,,サンプル1437,,,,,,,,,, ,2023-08-19 00:00:00,1134.7,22.79,22.9667939725337,13.1,
,10,417.0,322,,,サンプル1013,,サンプル1438,,,,,,,,,, ,2023-08-20 00:00:00,1070.0,24.06,22.6278263736364,14.4,
,10,418.0,323,,,サンプル1014,,サンプル1439,,,,,,,,,, ,2023-08-21 00:00:00,1014.9,24.1,22.1647744432569,14.3,
,10,419.0,324,,,サンプル1015,,サンプル1440,,,,,,,,,, ,2023-08-22 00:00:00,1002.5,23.4,21.6870336127428,14.6,
,10,420.0,325,,,サンプル1016,,サンプル1441,,,,,,,,,, ,2023-08-28 00:00:00,990.1,22.5,22.7358011941056,13.1,
,10,421.0,326,,,サンプル1017,,サンプル1442,,,,,,,,,, ,2023-08-20 00:00:00,1046.5,24.17,24.0095636744219,12.9,
,10,422.0,327,,,サンプル1018,,サンプル1443,,,,,,,,,, ,2023-08-23 00:00:00,1060.3,24.36,21.6193065837579,15.1,
,10,423.0,328,,,サンプル1019,,サンプル1444,,,,,,,,,, ,2023-08-20 00:00:00,996.0,21.87,22.5656855253944,14.4,
,10,424.0,329,,,サンプル1020,,サンプル1445,,,,,,,,,, ,2023-08-28 00:00:00,1011.6,22.64,22.4584727282148,14.6,
,10,425.0,330,,,サンプル1021,,サンプル1446,,,,,,,,,, ,2023-08-18 00:00:00,1008.9,24.08,23.2570085770465,15.5,
,10,426.0,331,,,サンプル1022,,サンプル1447,,,,,,,,,, ,2023-08-26 00:00:00,956.0,21.8,22.4655696554999,14.4,
,10,427.0,332,,,サンプル1023,,,,,,,,,,,, ,2023-08-22 00:00:00,1096.3,24.42,23.2532589292193,12.9,
,10,428.0,333,,,サンプル1024,,サンプル1448,,,,,,,,,, ,2023-08-19 00:00:00,1033.0,21.96,21.268693881691,14.1,
,10,429.0,334,,,サンプル1025,,サンプル1449,,,,,,,,,, ,2023-08-27 00:00:00,1119.7,23.91,22.7819960916846,14.9,
,10,430.0,335,,,サンプル1026,,サンプル1450,,,,,,,,,, ,2023-08-29 00:00:00,1002.4,21.97,21.1272390750757,14.0,
,10,431.0,336,,,サンプル1027,,サンプル1451,,,,,,,,,, ,2023-08-23 00:00:00,1087.4,22.68,21.2894982195621,14.1,
,10,432.0,337,,,サンプル1028,,サンプル1452,,,,,,,,,, ,2023-08-26 00:00:00,1036.0,23.44,22.499063721367,13.9,
,10,433.0,338,,,サンプル1029,,サンプル1453,,,,,,,,,, ,2023-08-29 00:00:00,1069.7,22.33,22.0554101260348,15.4,
,10,434.0,339,,,,,,,,,,,123.0,902.0,100.0,1334.0,01230902 01001334,20230902,1141.9,23.65,21.3810591334953,15.2,
,10,,340,,,,,,,,,,,,,,, ,,,,,,
,10,,341,,,,,,,,,,,,,,, ,,,,,,
,10,435.0,342,,,,,,,,,,,123.0,907.0,200.0,1523.0,01230907 02001523,20230907,969.6,22.26,21.1710288892965,13.8,
,10,436.0,343,,,,,,,,,,,123.0,903.0,100.0,1334.0,01230903 01001334,20230903,956.1,22.77,23.8510081403785,15.8,
,10,437.0,344,,,,,,,,,,,123.0,830.0,200.0,1334.0,01230830 02001334,20230830,1076.3,23.57,22.5845615265274,13.4,
,10,438.0,345,,,,,,,,,,,123.0,826.0,300.0,1383.0,01230826 03001383,20230826,1051.9,23.89,22.0195354678141,15.1,
,10,439.0,346,,,,,,,,,,,123.0,908.0,300.0,1523.0,01230908 03001523,20230908,1123.1,24.05,22.5466025536792,13.9,
,10,440.0,347,,,,,,,,,,,123.0,828.0,100.0,1383.0,01230828 01001383,20230828,999.0,23.49,23.2873920572847,14.2,
,11,488.0,348,,,,,,,,,,,123.0,903.0,200.0,1334.0,01230903 02001334,20230903,1114.4,25.49,22.3052057575189,14.9,
,11,489.0,349,,,,,,,,,,,123.0,831.0,100.0,1334.0,01230831 01001334,20230831,1007.5,22.38,22.4127050785481,13.8,
,11,490.0,350,,,,,,,,,,,123.0,907.0,100.0,1523.0,01230907 01001523,20230907,1001.3,24.33,23.2157946795585,14.5,
,11,491.0,351,,,,,,,,,,,123.0,827.0,300.0,1383.0,01230827 03001383,20230827,995.5,23.93,21.4559100270128,14.5,
,11,492.0,352,,,,,,,,,,,123.0,901.0,300.0,1334.0,01230901 03001334,20230901,1002.5,24.46,22.0046059694318,15.2,
,11,493.0,353,,,,,,,,,,,123.0,901.0,200.0,1334.0,01230901 02001334,20230901,1069.3,22.15,22.7668132960988,15.3,
,11,494.0,354,,,,,,,,,,,123.0,902.0,300.0,1334.0,01230902 03001334,20230902,1041.8,22.4,21.1408342627368,15.7,
,11,495.0,355,,,,,,,,,,,123.0,1016.0,100.0,1134.0,01231016 01001134,20231016,1092.5,24.18,21.6166420158558,14.5,
,11,496.0,356,,,,,,,,,,,123.0,1017.0,200.0,1513.0,01231017 02001513,20231017,1135.4,23.35,21.8426594065639,14.6,
,11,497.0,357,,,,,,,,,,,123.0,1014.0,300.0,1134.0,01231014 03001134,20231014,997.7,21.35,22.5768559872129,13.9,
,11,498.0,358,,,,,,,,,,,123.0,1011.0,100.0,1134.0,01231011 01001134,20231011,1048.6,22.11,24.454219190648,13.8,
,11,499.0,359,,,,,,,,,,,123.0,925.0,300.0,1423.0,01230925 03001423,20230925,1038.0,23.92,22.0460790027797,13.4,
,11,500.0,360,,,,,,,,,,,123.0,926.0,200.0,1423.0,01230926 02001423,20230926,991.3,21.66,21.8758058546567,14.2,
,12,501.0,361,,,,,,,,,,,123.0,925.0,100.0,1423.0,01230925 01001423,20230925,1110.5,23.08,24.5890215222492,14.4,
,12,502.0,362,,,,,,,,,,,123.0,924.0,200.0,1423.0,01230924 02001423,20230924,1099.2,22.73,22.4289307355247,14.3,
,12,503.0,363,,,,,,,,,,,123.0,923.0,100.0,1423.0,01230923 01001423,20230923,1091.9,22.77,22.4298556587216,14.7,
,12,504.0,364,,,,,,,,,,,123.0,923.0,300.0,1423.0,01230923 03001423,20230923,999.3,22.35,22.3417306846967,13.4,
,12,505.0,365,,,,,,,,,,,123.0,924.0,100.0,1423.0,01230924 01001423,20230924,1085.6,23.75,23.537325792543,15.5,
,12,506.0,366,,,,,,,,,,,123.0,921.0,200.0,1423.0,01230921 02001423,20230921,1146.5,23.39,21.439843458879,14.5,
,12,507.0,367,サンプル0188,サンプル0673,,,,,,,,,123.0,1020.0,400.0,1533.0,01231020 04001533,20231020,1056.9,24.11,20.7766020236107,15.1,
,12,508.0,368,サンプル0189,,,,,,,,,,123.0,1026.0,600.0,1363.0,01231026 06001363,20231026,1097.5,23.06,21.8534394994842,14.6,
,12,509.0,369,サンプル0190,,,,サンプル1454,,,,,,123.0,1014.0,400.0,1134.0,01231014 04001134,20231014,1091.9,23.7,23.1653537281925,13.7,
,12,,370,,,,,,,,,,,,,,, ,,,,,,
,12,510.0,371,サンプル0191,サンプル0674,,,,,,,,,123.0,1023.0,500.0,1533.0,01231023 05001533,20231023,1053.5,21.63,21.2888014012839,12.0,
,12,511.0,372,サンプル0192,サンプル0675,,,,,,,,,123.0,1019.0,400.0,1535.0,01231019 04001535,20231019,1020.1,22.71,22.2823307249868,14.5,
,12,,373,,,,,,,,,,,,,,, ,,,,,,
,12,512.0,374,サンプル0193,,,,サンプル1455,,,,,,123.0,1026.0,400.0,1363.0,01231026 04001363,20231026,1096.7,23.18,21.8263904275007,15.2,
,12,513.0,375,サンプル0194,,,,サンプル1456,,,,,,123.0,1025.0,600.0,1363.0,01231025 06001363,20231025,1015.5,23.52,21.0809855435932,13.1,
,12,514.0,376,サンプル0195,,,,サンプル1457,,,,,,123.0,1025.0,500.0,1363.0,01231025 05001363,20231025,1063.8,24.12,20.6466373026828,14.3,
,12,515.0,377,サンプル0196,,,,サンプル1458,,,,,,123.0,1014.0,600.0,1134.0,01231014 06001134,20231014,1121.4,22.29,21.8820319428695,14.1,
,12,516.0,378,サンプル0197,サンプル0676,,,,,,,,,123.0,1019.0,500.0,1533.0,01231019 05001533,20231019,1028.5,23.02,21.1395086918807,13.4,
,12,517.0,379,サンプル0198,サンプル0677,,,,,,,,,123.0,1019.0,600.0,1533.0,01231019 06001533,20231019,1041.6,23.53,22.2638108285066,13.3,
,12,518.0,380,サンプル0199,サンプル0678,,,,,,,,,123.0,1016.0,500.0,1533.0,01231016 05001533,20231016,1078.7,22.84,22.0649286896417,13.5,
,13,,381,,,,,,,,,,,,,,, ,,,,,,
,13,441.0,382,サンプル0200,サンプル0679,,,,,,,,,123.0,1016.0,600.0,1533.0,01231016 06001533,20231016,990.7,22.96,22.7881756725683,15.0,
,13,442.0,383,サンプル0201,サンプル0680,,,,,,,,,123.0,1023.0,600.0,1533.0,01231023 06001533,20231023,1019.2,22.12,21.901547328617,13.3,
,13,443.0,384,サンプル0202,サンプル0681,,,,,,,,,123.0,1020.0,600.0,1533.0,01231020 06001533,20231020,979.5,23.08,20.5541521466611,14.2,
,13,444.0,385,サンプル0203,サンプル0682,,,,,,,,,123.0,1018.0,600.0,1533.0,01231018 06001533,20231018,985.2,23.24,21.9740860249267,14.7,
,13,445.0,386,サンプル0204,サンプル0683,,,サンプル1459,,,,,,123.0,1101.0,400.0,1343.0,01231101 04001343,20231101,1084.0,25.47,21.8442837648467,14.6,
,13,446.0,387,サンプル0205,サンプル0684,,,サンプル1460,,,,,,123.0,1030.0,600.0,1343.0,01231030 06001343,20231030,1076.6,21.15,21.9304917533584,13.3,
,13,447.0,388,サンプル0206,サンプル0685,,,サンプル1461,,,,,,123.0,1101.0,600.0,1343.0,01231101 06001343,20231101,1057.6,23.35,20.1803558972679,13.9,
,13,448.0,389,サンプル0207,サンプル0686,,,サンプル1462,,,,,,123.0,1031.0,400.0,1343.0,01231031 04001343,20231031,1010.6,24.6,24.2340030523518,13.3,
,13,449.0,390,サンプル0208,サンプル0687,,,サンプル1463,,,,,,123.0,1101.0,400.0,1343.0,01231101 04001343,20231101,1040.9,22.29,22.1640974445749,15.0,
,13,,391,,,,,,,,,,,,,,, ,,,,,,
,13,450.0,392,サンプル0209,サンプル0688,,,サンプル1464,,,,,,123.0,1031.0,500.0,1343.0,01231031 05001343,20231031,1003.8,23.67,23.2035947245937,14.3,
,13,451.0,393,サンプル0210,サンプル0689,,,サンプル1465,,,,,,123.0,1030.0,500.0,1343.0,01231030 05001343,20231030,1089.3,25.08,21.4176373427984,12.8,
,13,452.0,394,サンプル0211,サンプル0690,,,サンプル1466,,,,,,123.0,1027.0,400.0,1363.0,01231027 04001363,20231027,948.2,24.16,22.3616530474514,14.9,
,13,453.0,395,サンプル0212,サンプル0691,,,サンプル1467,,,,,,123.0,1101.0,600.0,1343.0,01231101 06001343,20231101,945.8,22.53,21.5666332422816,15.4,
,13,454.0,396,サンプル0213,サンプル0692,,,サンプル1468,,,,,,123.0,1031.0,400.0,1343.0,01231031 04001343,20231031,1023.4,22.77,23.3687988094843,15.4,
,13,455.0,397,サンプル0214,サンプル0693,,,サンプル1469,,,,,,123.0,1101.0,500.0,1343.0,01231101 05001343,20231101,1043.6,23.04,22.2280700536639,14.4,
,13,456.0,398,サンプル0215,サンプル0694,,,サンプル1470,,,,,,123.0,1031.0,500.0,1343.0,01231031 05001343,20231031,986.0,21.75,22.6014728906719,14.7,
,14,293.0,399,サンプル0216,サンプル0695,,,サンプル1471,,,,,,123.0,1031.0,600.0,1343.0,01231031 06001343,20231031,1069.1,23.85,22.200789241116,14.4,
,14,294.0,400,サンプル0217,サンプル0696,,,サンプル1472,,,,,,123.0,1101.0,500.0,1343.0,01231101 05001343,20231101,979.9,23.59,23.2475161457272,14.8,
,14,295.0,401,サンプル0218,サンプル0697,,,サンプル1473,,,,,,123.0,1017.0,500.0,1533.0,01231017 05001533,20231017,1095.2,21.2,21.0530091470148,15.0,
,14,296.0,402,サンプル0219,サンプル0698,,,,,,,,,123.0,1002.0,500.0,1423.0,01231002 05001423,20231002,930.0,23.47,24.1870387155243,13.8,
