sample_id,year,analyzer_id,p_grA_w_ratio,p_grB_w_ratio,p_grC_w_ratio,p_grD_w_ratio,p_grE_w_ratio,p_grF_w_ratio,p_grG_w_ratio,p_grA_c_ratio,p_grB_c_ratio,p_grC_c_ratio,p_grD_c_ratio,p_grE_c_ratio,p_grF_c_ratio,p_grG_c_ratio,p_grA_count,p_grB_count,p_grC_count,p_grD_count,p_grE_count,p_grF_count,p_grG_count,s_grA_w_ratio,s_grF_w_ratio,s_grH_w_ratio,s_grC_w_ratio,s_grB_w_ratio,s_grD_w_ratio,s_grA_c_ratio,s_grF_c_ratio,s_grH_c_ratio,s_grC_c_ratio,s_grB_c_ratio,s_grD_c_ratio,s_grA_count,s_grF_count,s_grH_count,s_grC_count,s_grB_count,s_grD_count,d_grA_w_ratio,d_grI_w_ratio,d_grJ_w_ratio,d_grK_w_ratio,d_grL_w_ratio,d_grM_w_ratio,d_grE_w_ratio,d_grN_w_ratio,d_grO_w_ratio,d_grP_w_ratio,d_grQ_w_ratio,d_grR_w_ratio,d_grD_w_ratio,d_grA_c_ratio,d_grI_c_ratio,d_grJ_c_ratio,d_grK_c_ratio,d_grL_c_ratio,d_grM_c_ratio,d_grE_c_ratio,d_grN_c_ratio,d_grO_c_ratio,d_grP_c_ratio,d_grQ_c_ratio,d_grR_c_ratio,d_grD_c_ratio,d_grA_count,d_grI_count,d_grJ_count,d_grK_count,d_grL_count,d_grM_count,d_grE_count,d_grN_count,d_grO_count,d_grP_count,d_grQ_count,d_grR_count,d_grD_count,all_length_mean,all_width_mean,all_thickness_mean,all_brightness_mean,all_length_sd,all_width_sd,all_thickness_sd,all_brightness_sd,grA_length_mean,grA_width_mean,grA_thickness_mean,grA_brightness_mean,grA_length_sd,grA_width_sd,grA_thickness_sd,grA_brightness_sd,measured_count,flag_crack,flag_features
102,2024,888.0,71.8,0.0,0.0,1.2,1.4,2.2,14.7,65.5,0.4,17.9,3.2,1.3,3.1,27.6,866.0,4.0,0.0,95.0,10.0,42.0,311.0,60.1,32.8,1.1,0.0,0.3,7.2,65.1,55.1,3.6,3.9,0.1,4.1,461.0,280.0,4.0,142.0,0.0,65.0,47.6,5.9,1.5,0.0,3.0,18.2,1.0,0.2,0.2,7.2,0,0.2,3.1,58.3,0.0,4.6,1.6,1.4,18.6,0.6,0.0,0.1,6.9,0,0.6,3.7,365.0,42.0,42.0,56.0,22.0,335.0,11.0,6.0,0.0,16.0,0,1.0,23.0,5.42,2.73,1.98,23.4,0.31,0.08,0.07,2.1,5.53,2.65,1.53,14.9,0.3,0.09,0.05,1.2,1031.0,有,有
103,2024,758.0,52.6,0.4,17.6,0.0,3.5,2.7,30.7,49.5,0.1,7.2,13.2,0.0,3.8,36.6,685.0,2.0,75.0,35.0,12.0,31.0,302.0,64.6,45.6,0.9,8.7,0.4,7.5,58.0,39.0,5.1,2.5,0.0,2.5,532.0,419.0,26.0,126.0,4.0,30.0,52.3,5.3,6.1,2.0,0.3,24.6,0.8,0.3,0.0,0.0,0,0.2,12.1,37.0,0.0,4.3,0.0,0.0,25.8,1.5,0.0,0.4,3.9,0,0.2,0.0,426.0,44.0,60.0,11.0,0.0,275.0,64.0,3.0,4.0,0.0,0,4.0,75.0,5.19,2.69,2.01,22.0,0.22,0.07,0.07,2.0,5.57,2.89,2.2,20.4,0.21,0.06,0.07,1.84,1103.0,有,有
104,2024,262.0,74.2,0.1,8.6,8.6,3.3,0.1,39.1,28.0,0.0,6.3,0.0,0.0,2.9,26.0,402.0,0.0,61.0,12.0,16.0,0.0,364.0,67.2,28.9,1.0,1.8,0.0,1.4,67.7,51.8,1.6,0.0,0.2,5.8,540.0,575.0,21.0,0.0,3.0,52.0,42.0,1.7,2.5,6.1,2.0,25.9,2.0,0.4,0.1,0.0,0,0.0,0.0,60.9,9.9,9.3,1.9,0.9,14.2,1.5,0.2,0.0,0.0,0,0.0,5.1,492.0,40.0,100.0,20.0,0.0,203.0,15.0,5.0,0.0,11.0,0,0.0,11.0,5.29,2.71,2.03,22.5,0.31,0.1,0.07,2.1,5.79,2.89,1.67,24.9,0.25,0.12,0.06,1.19,989.0,有,有
105,2024,466.0,70.5,0.2,0.0,0.0,0.0,6.8,35.6,66.1,0.0,0.0,0.0,0.0,6.5,37.5,717.0,2.0,84.0,0.0,40.0,49.0,441.0,41.5,16.0,0.8,0.4,0.6,3.0,43.6,41.7,3.1,0.0,0.3,6.6,654.0,272.0,12.0,159.0,1.0,95.0,62.1,2.4,6.1,0.0,1.0,33.8,1.1,0.1,0.0,0.0,0,0.2,0.0,60.8,5.0,6.5,3.0,1.3,23.6,4.1,0.3,0.0,0.0,0,0.0,0.0,477.0,42.0,88.0,64.0,9.0,185.0,4.0,4.0,0.0,107.0,0,1.0,7.0,5.36,2.73,1.99,22.3,0.25,0.08,0.1,2.3,4.2,1.73,2.2,17.6,0.03,0.07,0.05,1.03,959.0,有,有
106,2024,980.0,39.5,0.1,0.0,16.0,0.0,4.2,40.7,46.8,0.0,1.1,1.8,0.0,5.3,22.1,403.0,5.0,0.0,0.0,0.0,0.0,158.0,56.2,33.2,0.0,5.8,0.1,2.5,74.9,41.7,0.3,0.0,0.0,0.0,776.0,494.0,9.0,118.0,5.0,84.0,47.4,3.7,6.4,5.7,3.0,20.8,0.0,0.2,0.0,8.5,0,0.2,17.9,31.2,6.4,0.8,6.8,0.2,16.7,1.2,0.0,0.0,0.0,0,0.0,0.0,797.0,38.0,26.0,0.0,12.0,381.0,11.0,0.0,0.0,81.0,0,8.0,134.0,5.2,2.78,2.04,22.1,0.32,0.07,0.08,2.3,3.96,2.15,1.9,21.9,0.19,0.06,0.08,1.92,1044.0,有,有
107,2024,641.0,53.7,0.0,9.7,0.0,1.7,0.0,23.1,73.1,0.5,0.0,6.0,0.1,5.4,25.3,722.0,1.0,64.0,45.0,15.0,0.0,477.0,64.4,52.9,0.0,6.3,0.3,0.0,67.1,36.5,0.6,8.2,0.0,6.5,382.0,175.0,10.0,160.0,1.0,0.0,63.2,1.6,3.5,0.0,0.9,39.3,0.0,0.5,0.0,2.2,0,0.3,5.8,44.1,3.4,8.4,2.6,3.4,33.4,0.0,0.4,0.2,5.3,0,0.6,3.5,516.0,57.0,79.0,5.0,4.0,285.0,0.0,3.0,1.0,0.0,0,3.0,160.0,5.17,2.72,2.04,23.3,0.29,0.08,0.08,2.2,5.79,2.89,2.2,20.4,0.2,0.1,0.03,2.14,1010.0,有,有
108,2024,425.0,57.4,0.0,11.8,2.2,2.5,2.4,31.6,85.7,0.0,3.1,7.4,1.6,9.7,45.0,669.0,0.0,124.0,42.0,1.0,21.0,498.0,72.1,50.1,2.4,1.6,0.0,0.0,40.0,54.9,0.0,0.0,0.1,0.0,801.0,444.0,36.0,0.0,1.0,0.0,46.1,0.3,1.4,0.9,1.0,13.6,2.0,0.4,0.0,0.0,0,0.0,1.8,66.6,5.1,2.8,6.8,0.0,40.0,1.1,0.0,0.0,0.0,0,0.0,6.1,493.0,22.0,0.0,30.0,0.0,224.0,24.0,6.0,2.0,0.0,0,0.0,135.0,5.28,2.74,1.98,22.2,0.28,0.07,0.09,1.7,4.47,2.89,1.45,24.9,0.16,0.07,0.09,1.44,1140.0,有,無
109,2024,674.0,43.2,0.6,0.0,8.5,2.9,5.3,29.9,47.5,0.0,0.0,7.1,3.5,4.4,25.6,490.0,0.0,189.0,12.0,29.0,45.0,442.0,49.8,22.6,0.0,2.3,0.7,1.3,47.5,50.2,1.7,0.0,0.1,0.0,656.0,396.0,24.0,19.0,1.0,74.0,70.8,0.0,5.9,5.7,0.0,20.1,0.2,0.0,0.0,0.0,0,0.6,7.2,54.3,0.6,3.8,1.7,2.5,24.6,0.7,0.0,0.0,8.8,0,0.9,5.8,445.0,39.0,42.0,0.0,6.0,276.0,51.0,2.0,2.0,79.0,0,2.0,44.0,5.14,2.73,2.05,21.4,0.26,0.07,0.08,2.1,3.95,2.04,1.93,24.3,0.18,0.1,0.08,1.62,998.0,有,有
110,2024,890.0,45.4,0.2,0.0,0.0,0.0,1.6,39.5,86.8,0.0,10.7,4.3,1.4,7.4,32.5,686.0,9.0,79.0,86.0,20.0,36.0,333.0,61.3,39.3,1.0,2.5,0.1,0.0,45.4,35.5,0.0,11.3,0.4,0.0,866.0,500.0,18.0,13.0,2.0,9.0,88.7,2.5,3.4,1.2,1.3,21.2,0.0,0.3,0.1,0.0,0,0.2,4.3,34.9,5.6,8.6,2.9,1.5,36.3,2.4,0.2,0.0,3.8,0,0.4,7.3,586.0,0.0,65.0,43.0,21.0,315.0,28.0,0.0,2.0,0.0,0,1.0,4.0,5.4,2.75,2.02,21.7,0.19,0.08,0.1,2.4,4.72,2.89,2.2,24.9,0.17,0.08,0.09,1.7,1008.0,有,有
111,2024,475.0,48.4,0.4,0.0,12.4,2.0,5.1,22.1,66.9,0.4,0.0,5.9,3.0,7.7,52.3,632.0,4.0,62.0,0.0,33.0,54.0,375.0,42.6,41.8,1.1,8.7,0.0,2.7,43.2,21.9,1.5,1.5,0.1,4.2,339.0,364.0,32.0,0.0,2.0,0.0,58.4,0.0,8.4,4.8,0.0,44.2,1.0,0.3,0.0,1.6,0,0.0,5.6,56.6,9.0,3.4,6.8,0.0,12.7,4.4,0.0,0.0,0.0,0,0.0,7.5,526.0,9.0,62.0,10.0,0.0,267.0,24.0,2.0,0.0,137.0,0,6.0,42.0,5.29,2.72,2.0,20.9,0.35,0.08,0.07,2.8,3.77,2.75,2.12,24.9,0.19,0.04,0.05,1.98,1093.0,有,有
112,2024,948.0,33.7,0.0,0.0,11.2,0.0,3.7,35.6,41.2,0.2,0.0,13.3,0.0,5.5,54.6,438.0,6.0,52.0,30.0,0.0,60.0,390.0,77.2,34.6,2.4,1.2,0.0,9.5,30.2,21.6,1.7,2.6,0.3,10.7,673.0,234.0,13.0,14.0,0.0,39.0,63.0,4.0,5.4,3.6,1.6,28.5,0.6,0.3,0.0,8.0,0,0.2,0.0,78.6,0.0,5.2,5.7,0.7,17.9,0.5,0.2,0.1,0.0,0,0.2,21.0,634.0,4.0,110.0,17.0,29.0,461.0,0.0,0.0,1.0,112.0,0,1.0,64.0,5.35,2.7,2.02,21.3,0.33,0.08,0.09,2.2,5.47,2.83,2.2,19.8,0.29,0.07,0.08,1.47,1168.0,有,有
113,2024,917.0,60.9,0.0,0.0,0.1,0.3,1.4,16.2,52.1,0.0,0.0,7.6,0.7,4.0,38.0,596.0,0.0,99.0,18.0,0.0,43.0,498.0,68.5,34.4,0.0,0.0,0.4,6.4,61.8,38.1,0.0,8.6,0.3,0.0,450.0,451.0,12.0,23.0,0.0,0.0,78.6,4.2,0.8,0.0,2.0,27.2,0.7,0.5,0.0,1.1,0,0.1,3.6,48.1,0.2,6.1,2.1,1.5,34.0,0.1,0.2,0.4,0.6,0,0.0,0.0,511.0,16.0,87.0,9.0,30.0,516.0,23.0,0.0,0.0,79.0,0,8.0,63.0,5.37,2.7,1.99,22.5,0.24,0.09,0.11,2.3,4.84,2.06,1.51,17.9,0.19,0.04,0.07,1.68,1020.0,有,有
114,2024,1008.0,51.4,0.2,0.0,11.2,0.0,3.4,42.0,36.2,0.8,1.0,5.7,1.3,0.0,28.0,580.0,5.0,99.0,0.0,14.0,0.0,288.0,73.0,23.3,0.0,5.7,0.2,0.0,27.6,49.3,0.9,7.0,0.0,5.7,615.0,356.0,4.0,0.0,4.0,32.0,88.7,6.2,0.9,6.4,2.9,36.9,0.0,0.0,0.1,8.1,0,0.6,8.0,81.8,0.6,6.2,6.0,1.5,44.0,1.0,0.0,0.0,2.6,0,0.0,6.0,520.0,51.0,10.0,23.0,7.0,316.0,0.0,4.0,3.0,62.0,0,3.0,0.0,5.32,2.7,2.04,23.0,0.29,0.09,0.07,2.2,4.59,2.89,1.18,24.2,0.2,0.08,0.07,1.3,1101.0,有,有
115,2024,809.0,56.6,0.0,6.2,10.7,0.3,4.2,48.0,54.9,0.2,0.0,0.0,1.8,1.4,42.9,727.0,0.0,96.0,93.0,9.0,0.0,495.0,60.5,25.5,0.0,13.4,0.1,0.0,78.4,39.7,0.2,1.4,0.0,5.2,544.0,187.0,27.0,0.0,0.0,10.0,43.1,7.0,9.8,4.2,0.3,36.9,1.0,0.3,0.1,1.3,0,0.0,0.0,30.7,2.2,3.3,6.8,1.8,27.1,1.6,0.0,0.2,1.0,0,0.0,3.2,866.0,64.0,17.0,34.0,19.0,338.0,8.0,0.0,0.0,0.0,0,0.0,109.0,5.16,2.75,2.09,24.1,0.21,0.08,0.09,1.8,5.79,1.24,1.89,24.9,0.08,0.08,0.07,1.32,1027.0,有,有
116,2024,1102.0,45.0,0.0,5.7,6.0,0.1,4.0,33.7,63.9,0.1,0.2,7.9,0.0,1.3,37.2,654.0,1.0,96.0,145.0,18.0,37.0,459.0,59.6,45.0,1.0,11.7,1.0,0.0,63.5,62.5,3.4,0.0,0.0,6.2,396.0,445.0,0.0,82.0,3.0,71.0,62.0,3.2,0.0,3.2,0.0,39.7,1.7,0.1,0.1,1.8,0,0.3,11.7,62.2,0.6,7.4,0.0,1.8,23.5,2.2,0.1,0.0,4.4,0,0.6,0.0,605.0,25.0,18.0,16.0,19.0,381.0,32.0,2.0,0.0,0.0,0,9.0,112.0,5.09,2.74,2.0,22.8,0.25,0.09,0.09,2.1,5.79,2.89,2.13,22.5,0.24,0.11,0.08,0.42,1056.0,有,有
117,2024,1035.0,77.7,0.1,7.2,0.0,0.0,0.0,42.3,78.6,0.0,10.8,10.6,0.3,6.4,38.1,662.0,2.0,181.0,0.0,24.0,22.0,392.0,45.2,20.1,1.2,0.0,0.0,12.1,41.4,36.1,0.0,0.1,0.4,6.4,852.0,337.0,19.0,49.0,4.0,123.0,69.5,3.2,5.5,1.7,1.5,28.3,2.5,0.4,0.0,5.9,0,0.0,0.0,48.3,5.3,0.4,1.8,1.4,35.0,3.9,0.0,0.0,0.4,0,0.1,10.1,576.0,40.0,67.0,29.0,8.0,166.0,2.0,1.0,0.0,49.0,0,3.0,26.0,5.34,2.7,2.11,23.1,0.42,0.09,0.09,2.6,5.79,2.3,1.93,13.3,0.2,0.06,0.06,1.4,1048.0,有,有
118,2024,517.0,52.5,0.3,3.1,3.8,0.4,0.9,42.3,64.3,0.5,1.3,0.0,0.9,0.8,44.0,511.0,0.0,87.0,45.0,7.0,55.0,340.0,53.7,43.0,0.2,1.7,0.4,0.0,45.8,38.5,3.1,18.8,0.5,9.6,621.0,443.0,0.0,0.0,6.0,37.0,48.0,0.0,6.0,6.9,1.5,20.6,1.7,0.0,0.0,0.0,0,0.2,13.9,72.0,5.0,3.3,1.1,0.0,30.5,0.7,0.1,0.0,0.0,0,0.0,8.5,552.0,21.0,73.0,15.0,0.0,262.0,46.0,0.0,0.0,153.0,0,0.0,39.0,5.28,2.74,2.02,22.7,0.38,0.08,0.12,1.5,5.36,2.89,1.81,22.7,0.14,0.09,0.08,1.55,1027.0,有,有
119,2024,447.0,62.0,0.3,3.7,2.1,0.0,5.1,32.3,35.1,0.2,10.8,1.5,2.1,11.0,37.8,784.0,6.0,168.0,34.0,4.0,14.0,327.0,50.3,29.3,1.4,11.4,0.4,0.0,60.0,24.6,0.0,7.7,0.0,11.5,745.0,375.0,41.0,71.0,0.0,48.0,50.9,3.2,6.4,0.0,1.3,27.2,0.9,0.0,0.2,0.0,0,0.5,0.0,60.8,0.8,5.3,1.9,0.0,30.0,3.8,0.3,0.1,0.0,0,0.0,2.8,478.0,72.0,38.0,9.0,32.0,384.0,0.0,0.0,4.0,0.0,0,1.0,66.0,5.48,2.74,2.02,22.9,0.31,0.1,0.08,2.4,3.95,2.89,2.03,19.6,0.15,0.08,0.06,1.51,1043.0,有,有
120,2024,1036.0,40.4,0.4,0.0,0.7,2.1,1.8,40.4,70.6,0.5,1.5,0.2,2.4,0.8,34.5,654.0,4.0,112.0,69.0,23.0,19.0,567.0,57.9,43.3,0.7,0.0,0.2,6.6,39.4,49.8,3.7,9.7,0.8,0.0,383.0,629.0,38.0,85.0,0.0,0.0,62.4,4.6,4.3,6.6,2.2,17.6,0.0,0.4,0.1,0.5,0,0.2,7.5,40.6,0.0,5.2,0.0,0.0,10.0,0.0,0.3,0.2,13.9,0,0.4,0.0,542.0,27.0,54.0,35.0,30.0,300.0,9.0,0.0,0.0,65.0,0,0.0,56.0,5.17,2.68,2.02,22.7,0.25,0.1,0.08,2.0,4.88,2.09,2.2,24.6,0.19,0.08,0.12,1.79,1027.0,有,有
121,2024,638.0,45.9,0.1,2.3,0.0,2.7,1.2,49.1,61.8,0.0,0.0,0.0,0.6,3.5,20.0,754.0,2.0,0.0,105.0,23.0,62.0,454.0,57.7,46.1,0.0,0.0,0.0,2.6,48.5,33.1,0.0,0.0,0.1,4.1,374.0,420.0,0.0,90.0,2.0,0.0,68.8,0.4,3.2,0.5,0.0,36.1,0.0,0.1,0.1,0.0,0,0.0,10.8,47.1,3.5,7.5,5.2,1.8,37.7,1.5,0.0,0.2,15.4,0,0.1,1.5,642.0,77.0,39.0,26.0,21.0,298.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.42,2.71,2.04,22.6,0.29,0.09,0.06,2.0,5.06,2.89,1.43,24.9,0.13,0.07,0.08,1.92,986.0,有,有
122,2024,581.0,47.5,0.2,9.3,0.0,0.0,2.7,34.5,55.8,0.0,7.2,1.7,3.8,0.1,38.8,326.0,5.0,0.0,40.0,17.0,17.0,209.0,59.0,37.0,1.9,0.0,0.3,6.1,69.7,47.4,0.0,5.1,0.5,7.6,542.0,298.0,28.0,53.0,5.0,65.0,75.7,3.1,2.1,5.0,0.0,39.4,0.2,0.1,0.1,5.7,0,0.0,5.3,53.6,0.0,5.1,0.0,1.6,16.9,0.0,0.0,0.0,0.0,0,0.1,2.8,671.0,48.0,46.0,0.0,9.0,234.0,11.0,0.0,0.0,113.0,0,3.0,0.0,5.11,2.76,2.01,24.4,0.27,0.08,0.1,2.4,2.63,2.89,1.41,24.9,0.2,0.06,0.08,1.78,1049.0,有,有
123,2024,802.0,29.7,0.0,0.0,0.0,0.6,4.7,27.7,64.5,0.3,2.9,6.7,2.4,1.0,32.6,516.0,5.0,0.0,0.0,16.0,22.0,493.0,59.0,48.0,1.3,0.6,0.0,8.8,38.0,30.4,1.1,0.0,0.4,4.1,693.0,591.0,9.0,86.0,3.0,105.0,86.8,2.9,0.5,2.1,0.0,30.0,0.0,0.1,0.1,0.0,0,0.3,9.0,63.0,4.8,4.1,4.0,2.2,40.7,1.8,0.0,0.1,1.0,0,0.0,1.0,586.0,0.0,93.0,33.0,0.0,428.0,0.0,0.0,1.0,0.0,0,0.0,100.0,5.22,2.75,2.06,21.9,0.31,0.1,0.11,2.4,5.42,2.89,1.93,24.9,0.16,0.07,0.06,1.13,1015.0,有,有
124,2024,1010.0,76.3,0.0,1.9,0.0,2.3,0.4,19.8,79.4,0.0,2.2,3.8,1.9,8.0,50.5,617.0,0.0,88.0,83.0,21.0,76.0,310.0,79.5,52.5,1.9,5.9,0.0,0.0,52.4,39.5,0.1,0.0,0.0,0.0,420.0,336.0,0.0,126.0,0.0,68.0,49.3,8.3,3.5,6.0,1.4,23.5,0.5,0.1,0.2,0.0,0,0.6,8.2,67.2,2.8,0.0,6.0,0.4,39.3,2.0,0.1,0.0,5.2,0,0.0,18.4,407.0,0.0,73.0,1.0,20.0,334.0,34.0,1.0,2.0,37.0,0,3.0,98.0,5.31,2.74,2.02,22.7,0.36,0.07,0.11,1.9,5.79,1.7,1.52,14.0,0.27,0.07,0.08,1.58,1080.0,有,有
125,2024,666.0,57.1,0.2,1.0,0.0,0.0,0.0,31.7,68.9,0.1,0.0,1.4,2.7,2.5,36.2,763.0,0.0,149.0,0.0,6.0,14.0,301.0,88.7,38.2,1.7,0.0,0.2,6.1,35.5,33.4,2.4,0.0,0.5,1.5,495.0,592.0,0.0,0.0,3.0,40.0,60.7,1.6,4.8,2.5,1.1,30.8,1.2,0.0,0.1,8.4,0,0.3,0.0,60.6,9.7,6.3,0.0,0.6,18.1,0.0,0.5,0.1,9.2,0,0.7,1.2,866.0,28.0,24.0,0.0,2.0,384.0,27.0,5.0,3.0,65.0,0,0.0,127.0,5.16,2.71,2.03,22.5,0.43,0.09,0.06,1.9,5.4,2.27,1.55,22.2,0.25,0.09,0.05,1.25,1049.0,有,有
126,2024,1111.0,63.2,0.3,0.0,5.1,2.6,4.6,28.1,63.6,0.3,1.5,8.0,0.0,0.0,46.5,484.0,2.0,0.0,39.0,0.0,100.0,383.0,67.8,25.6,0.0,0.0,0.0,0.0,67.5,67.3,0.2,5.3,0.1,6.7,445.0,468.0,29.0,8.0,3.0,129.0,42.9,1.7,0.0,1.0,2.1,19.7,0.6,0.2,0.3,0.0,0,0.1,0.0,49.5,4.7,2.2,6.8,2.1,44.8,5.2,0.1,0.1,3.2,0,0.0,5.1,709.0,0.0,7.0,37.0,24.0,163.0,0.0,1.0,2.0,129.0,0,6.0,70.0,5.16,2.71,2.1,23.3,0.24,0.08,0.1,1.8,5.39,2.89,1.9,20.1,0.19,0.07,0.06,1.14,1009.0,有,無
127,2024,311.0,61.3,0.0,8.1,0.0,2.1,0.0,60.2,42.9,0.0,6.1,5.0,3.2,1.6,43.1,630.0,2.0,0.0,24.0,3.0,26.0,223.0,72.3,40.9,0.0,8.3,0.0,7.4,29.5,28.5,1.8,22.6,0.2,2.1,543.0,351.0,35.0,62.0,1.0,109.0,49.1,5.4,3.8,1.6,1.2,20.4,1.4,0.0,0.2,3.5,0,0.0,4.4,60.7,3.3,3.3,4.4,0.5,26.1,0.9,0.4,0.0,7.0,0,0.3,3.8,640.0,69.0,57.0,45.0,0.0,335.0,0.0,3.0,0.0,0.0,0,0.0,67.0,5.29,2.76,2.07,21.7,0.33,0.08,0.11,2.1,5.79,2.79,2.14,15.3,0.25,0.05,0.07,1.29,1034.0,有,有
128,2024,875.0,53.1,0.1,0.0,1.9,3.9,3.3,36.2,74.8,0.2,0.0,0.0,2.3,0.9,35.7,664.0,5.0,0.0,29.0,0.0,0.0,367.0,44.4,18.8,0.4,0.0,0.2,5.7,38.6,40.0,3.3,1.5,0.0,0.0,681.0,268.0,3.0,12.0,5.0,0.0,47.2,8.2,1.9,0.9,3.0,24.8,0.0,0.0,0.1,3.9,0,0.1,0.0,77.1,2.2,7.4,4.2,1.4,33.0,0.0,0.3,0.0,0.0,0,0.2,0.0,499.0,78.0,98.0,0.0,16.0,230.0,0.0,1.0,0.0,42.0,0,6.0,155.0,5.34,2.75,2.07,21.9,0.22,0.08,0.09,2.3,4.59,2.52,1.57,24.8,0.21,0.06,0.06,1.08,1106.0,有,有
129,2024,109.0,52.5,0.1,11.3,5.1,0.0,1.2,38.5,42.5,0.4,0.0,0.3,0.0,4.0,21.7,554.0,5.0,0.0,44.0,5.0,74.0,281.0,58.7,26.9,1.7,5.3,0.8,0.0,64.0,33.6,1.2,8.4,0.0,2.5,168.0,590.0,0.0,0.0,0.0,24.0,67.2,0.0,3.6,2.4,3.6,41.5,1.8,0.2,0.0,11.2,0,0.2,7.8,26.4,5.3,2.7,2.6,2.2,31.1,1.7,0.3,0.0,0.0,0,0.0,0.6,491.0,43.0,63.0,48.0,5.0,402.0,0.0,0.0,0.0,0.0,0,4.0,11.0,5.16,2.74,2.09,22.6,0.19,0.08,0.08,1.8,3.51,2.72,2.16,24.9,0.17,0.07,0.05,1.41,1069.0,有,有
130,2024,664.0,54.3,0.2,0.0,0.0,0.0,1.2,36.4,49.3,0.5,0.0,0.0,0.0,6.5,41.9,490.0,1.0,202.0,0.0,9.0,72.0,368.0,65.8,43.8,0.4,14.0,0.3,0.0,51.5,38.1,0.0,0.0,0.8,0.0,520.0,316.0,4.0,0.0,8.0,0.0,83.9,5.3,3.4,1.6,2.2,34.1,2.7,0.0,0.0,6.1,0,0.0,0.0,52.3,5.8,8.3,3.9,4.5,27.1,0.5,0.2,0.4,0.0,0,0.0,0.0,356.0,53.0,98.0,29.0,1.0,285.0,17.0,1.0,1.0,0.0,0,0.0,0.0,5.17,2.74,2.06,21.0,0.41,0.08,0.06,2.3,3.31,2.89,2.19,23.8,0.11,0.09,0.09,1.54,1107.0,有,有
131,2024,978.0,36.7,0.2,0.0,0.0,1.7,7.0,29.0,48.7,0.0,0.0,5.2,3.2,1.7,57.3,866.0,0.0,141.0,37.0,1.0,75.0,345.0,67.1,23.9,1.8,1.9,0.3,0.4,45.5,37.4,0.0,0.0,0.3,0.0,346.0,466.0,29.0,80.0,0.0,170.0,36.8,1.2,4.0,0.0,0.0,15.4,2.1,0.2,0.0,8.4,0,0.5,5.3,23.6,6.0,6.5,4.7,1.2,18.9,1.0,0.0,0.0,9.8,0,0.8,9.5,456.0,4.0,50.0,57.0,22.0,375.0,0.0,5.0,0.0,6.0,0,5.0,19.0,5.3,2.7,2.02,18.8,0.19,0.11,0.07,1.8,3.22,2.42,1.0,22.2,0.18,0.06,0.05,1.4,1046.0,有,有
132,2024,805.0,63.9,0.0,3.4,1.6,0.7,4.7,49.9,47.5,0.9,0.0,0.0,2.7,4.9,40.5,616.0,0.0,0.0,9.0,21.0,43.0,291.0,72.0,48.4,1.0,0.0,0.1,0.0,55.6,34.8,3.8,0.0,0.0,0.0,548.0,433.0,0.0,0.0,0.0,0.0,75.0,0.0,4.4,1.6,0.0,38.2,1.2,0.5,0.0,0.9,0,0.9,8.5,74.2,5.3,0.0,0.0,0.0,30.2,0.0,0.3,0.5,0.0,0,0.4,3.8,499.0,47.0,103.0,15.0,12.0,347.0,14.0,0.0,0.0,78.0,0,1.0,100.0,5.27,2.76,2.02,21.1,0.26,0.11,0.08,1.9,5.76,2.85,2.19,8.0,0.31,0.06,0.07,1.95,1038.0,有,有
133,2024,29.0,87.3,0.1,4.8,8.1,2.7,1.8,43.9,48.2,0.6,5.8,0.0,0.5,5.5,28.7,452.0,5.0,66.0,0.0,11.0,0.0,374.0,75.0,26.4,1.0,0.0,0.0,12.6,43.4,4.9,2.4,0.0,0.3,0.0,668.0,411.0,0.0,0.0,4.0,37.0,36.1,5.9,7.8,3.2,0.6,17.4,0.0,0.0,0.0,0.0,0,0.4,2.1,57.7,2.6,4.8,0.0,4.2,25.1,1.0,0.2,0.1,2.5,0,0.1,4.8,801.0,70.0,51.0,75.0,31.0,360.0,4.0,1.0,3.0,50.0,0,0.0,0.0,5.03,2.82,2.06,22.7,0.24,0.1,0.09,2.2,4.61,2.36,2.2,22.0,0.15,0.06,0.07,0.84,1109.0,有,有
134,2024,5.0,47.9,0.1,0.0,1.5,0.0,4.6,50.0,83.9,0.0,0.9,0.0,2.4,3.0,30.9,547.0,2.0,12.0,0.0,17.0,1.0,633.0,40.1,45.6,1.2,8.3,0.1,4.5,40.2,36.3,0.7,12.1,0.2,9.5,590.0,440.0,36.0,0.0,0.0,25.0,48.0,3.7,1.4,0.3,2.9,29.1,2.2,0.5,0.1,0.0,0,0.0,0.0,58.7,8.5,6.6,4.2,3.6,1.3,2.1,0.3,0.0,7.2,0,0.0,6.8,431.0,78.0,0.0,30.0,20.0,350.0,7.0,5.0,0.0,116.0,0,4.0,28.0,5.24,2.74,2.08,23.6,0.44,0.08,0.09,2.0,5.4,2.37,1.48,14.4,0.2,0.07,0.09,1.64,984.0,有,有
